Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water (mg/L),Temperature (deg C),Experiment Reference,,comment,Standard InChIKey
"(4aS)-3c-beta-D-glucopyranosyloxy-4t-vinyl-(4ar)-3,4,4a,5,6,7-hexahydro-pyrano[3,4-c]pyridin-8-one; (4aS)-3c-beta-D-Glucopyranosyloxy-4t-vinyl-(4ar)-3,4,4a,5,6,7-hexahydro-pyrano[3,4-c]pyridin-8-on; Bakankosid; Bakankosin; bakankoside; bakankosine",[H][C@@]12CCNC(=O)C1=CO[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H]2C=C,357.361,1398-17-0,80500,20,"Article; Bourquelot; Herissey; Archiv der Pharmazie (Weinheim, Germany); vol. 247; (1909); p. 56,62;",H2O,100 g solvent dissolves. 8.05 g Substance.,CYRRHDGXDUVPMO-ZASXJUAOSA-N
7-deoxy-L-glycero-L-galacto-heptonic acid-(N'-phenyl-hydrazide); 7-Desoxy-L-glycero-L-galacto-heptonsaeure-(N'-phenyl-hydrazid); L-glycero-L-galacto-7-Desoxy-heptonsaeure-(N'-phenyl-hydrazid),[H][C@@](C)(O)[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]([H])(O)C(=O)NNC1=CC=CC=C1,300.312,5328-52-9,13888.89,17,"Article; Fischer,E.; Morrell; Chemische Berichte; vol. 27; (1894); p. 384;",H2O,1 part(s) of substance.dissolves in:72 parts of solvent.,DHNNIIMWBLEGGM-CFVLRQLYSA-N
5-oxo-L-prolin-anilide; 5-Oxo-L-prolin-anilid; (R)-5-Oxopyrrolidin-2-carboxanilid,O=C(NC1=CC=CC=C1)[C@H]1CCC(=O)N1,204.228,68295-46-5,9600,20,Article; Hugounenq; Florence; Couture; Bulletin de la Societe de Chimie Biologique; vol. 6; p. 673; Chemisches Zentralblatt; vol. 95; II; (1924); p. 2641;,H2O,100 g solvent dissolves. 0.96 g Substance.,DLHWPLFJAJCANU-SECBINFHSA-N
4-amino-3-iodo-benzenesulfonic acid; 4-Amino-3-jod-benzolsulfonsaeure; 2-Jod-anilin-sulfonsaeure-(4),NC1=C(I)C=C(C=C1)S(O)(=O)=O,299.089,67877-88-7,20700,25,Article; Boyle; Journal of the Chemical Society; vol. 115; (1919); p. 1508;,H2O,100 g solvent dissolves. 2.07 g Substance.,DPXVZGMJZZIUCO-UHFFFAOYSA-N
"2xi,4r,6c-trimethyl-dihydro-[1,3,5]dithiazine; 2xi,4r,6c-Trimethyl-dihydro-[1,3,5]dithiazin",C[C@H]1N[C@@H](C)SC(C)S1,163.308,638-17-5; 86241-90-9,7000,20,"Article; McClure; Chemical and Engineering News; vol. 22; (1944); p. 416,421;",H2O,Solubility :0.7 percent.,FBMVFHKKLDGLJA-XEAPYIEGSA-N
Brommethandisulfonsaeure; bromo-methanedisulfonic acid; Brom-methandisulfonsaeure,OS(=O)(=O)C(Br)S(O)(=O)=O,255.067,187610-86-2,3450000,25,Article; Backer; Recueil des Travaux Chimiques des Pays-Bas; vol. 48; (1929); p. 619;,H2O,100 g solvent dissolves. 344.8 g Substance.,FFUUYLZJSFQFNF-UHFFFAOYSA-N
bis(4-carboxyphenyl)mercury(II); bis-(4-carboxy-phenyl)-mercury; Bis-(4-carboxy-phenyl)-quecksilber; 4.4'-Mercurio-di-benzoesaeure; 4.4'-Quecksilber-di-benzoesaeure,OC(=O)C1=CC=C([Hg]C2=CC=C(C=C2)C(O)=O)C=C1,442.821,,1000,20,"Article; Nesmejanow; Makarowa; Zhurnal Obshchei Khimii; vol. 1; (1931); p. 598,612; Chemisches Zentralblatt; vol. 103; I; (1932); p. 2947;",H2O,100 g solvent dissolves. 0.1 g Substance.,GBQHBTLCGYNLRC-UHFFFAOYSA-N
sulfachloropyrazine; 4-amino-N-(5-chloro-pyrazin-2-yl)-benzenesulfonamide; sulfanilic acid-(5-chloro-pyrazin-2-ylamide); Sulfanilsaeure-(5-chlor-pyrazin-2-ylamid); Sulfachloropyrazin,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=C(Cl)N=C1,284.726,1672-91-9,3.2,24.99,"Article; Zhang, Cong-Liang; Wang, Fu-An; Wang, Yan; Journal of Chemical and Engineering Data; vol. 52; 5; (2007); p. 1563 - 1566;",H2O,Solubility: 1.124E-3 molpercent,GDANWVKBBCWCIJ-UHFFFAOYSA-N
"1,1-diphenyl-galactitol; 1,1-Diphenyl-galactit; 1,1-Diphenyl-glucit",OCC(O)C(O)C(O)C(O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,334.369,,4000,21,Article; Paal; Hoernstein; Chemische Berichte; vol. 39; (1906); p. 2826;,H2O,0.4 part(s) of substance.dissolves in:100 parts of solvent.; omega.omega-diphenyl-d-sorbitol,GHBBMKMPDJCELO-UHFFFAOYSA-N
(1-phenyl-vinyl)-succinic acid; gamma-Phenyl-gamma-butylen-alpha.beta-dicarbonsaeure; gamma-Phenyl-gamma-methylen-brenzweinsaeure; (1-Phenyl-vinyl)-bernsteinsaeure,OC(=O)CC(C(O)=O)C(=C)C1=CC=CC=C1,220.225,,1362,17,Article; Stobbe; Justus Liebigs Annalen der Chemie; vol. 308; (1899); p. 143;,H2O,0.1362 part(s) of substance.dissolves in:100 parts of solvent.,GSMKNGBCNQABGO-UHFFFAOYSA-N
n-hexadecyl alpha-D-glucopyranosyl-(1->4)-beta-D-glucopyranoside; n-hexadecyl beta-D-maltoside; hexadecyl beta-D-maltoside,CCCCCCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,566.73,,12,25,"Article; Li, Zhencao; Chen, Guoyong; Chen, Langqiu; Zhang, Yanhua; Dai, Zhiyong; Journal of Surfactants and Detergents; vol. 22; 4; (2019);",water,Solubility: 0.0012 g/100g solvent,GTQCHJYVKDXMRU-YMEALESQSA-N
4-sulfamoyl-cinnamic acid; Zimtsaeure-sulfonamid-(4); 4-Sulfamoyl-zimtsaeure; 4-Sulfamid-zimtsaeure; p-Sulfamoylzimtsaeure,NS(=O)(=O)C1=CC=C(C=CC(O)=O)C=C1,227.241,147723-92-0,580,21,Article; Palmer; American Chemical Journal; vol. 4; (1882); p. 164;,H2O,0.058 part(s) of substance.dissolves in:100 parts of solvent.,HEDUHTUYJZYWOJ-UHFFFAOYSA-N
"4-allyl-1,5-dimethyl-2-phenyl-2,3-dihydro-1H-pyrazol-3-one; 4-allyl-1,5-dimethyl-2-phenyl-1,2-dihydro-pyrazol-3-one; 4-Allyl-1,5-dimethyl-2-phenyl-1,2-dihydro-pyrazol-3-on",CN1N(C(=O)C(CC=C)=C1C)C1=CC=CC=C1,228.294,,39000,20,Patent; Hoffmann-La Roche; DE558473; (1931); Fortschr. Teerfarbenfabr. Verw. Industriezweige; vol. 19; p. 1186;,H2O,Solubility :3.9 percent.,IIWQOJBCXMJFFB-UHFFFAOYSA-N
"2,2-dimethyl-3-propyl-succinic acid; 2,2-Dimethyl-3-propyl-bernsteinsaeure",CCCC(C(O)=O)C(C)(C)C(O)=O,188.224,180331-68-4,4347.83,17.5,Article; Bischoff; Chemische Berichte; vol. 24; (1891); p. 1053;,H2O,1 part(s) of substance.dissolves in:230 parts of solvent.,IVQDXIIWFMVRGH-UHFFFAOYSA-N
propyl dibutylphosphinate; Dibutylphosphinsaeure-propylester,CCCCP(=O)(CCCC)OCCC,220.292,7100-93-8,20500,20,"Article; Li En Zo; Abramzon, A. A.; Zaichenko, L. P.; Proskuryakov, V. A.; Slavin, A. A.; J. Gen. Chem. USSR (Engl. Transl.); vol. 54; 9; (1984); p. 1909 - 1913; Zhurnal Obshchei Khimii; vol. 54; 9; (1984); p. 2136 - 2141;",H2O,Solubility: 2.05 weight-percent,IXBLAILXQAGINI-UHFFFAOYSA-N
LAB687; (R)-6-Methyl-4'-trifluoromethylbiphenyl-2-carboxylic acid (2-methoxycarbonylamino-indan-5-yl)-amide; (R)-6-methyl-4'-trifluoromethylbiphenyl-2-carboxylic acid-(2-methoxycarbonylamino-indan-5-yl)-amide,COC(=O)N[C@@H]1CC2=C(C1)C=C(NC(=O)C1=C(C(C)=CC=C1)C1=CC=C(C=C1)C(F)(F)F)C=C2,468.475,256397-11-2,0.9,25,"Article; Prashad, Mahavir; Sutton, Paul; Wu, Raeann; Hu, Bin; Vivelo, James; Carosi, Joseph; Kapa, Prasad; Liang, Jessica; Organic Process Research and Development; vol. 14; 4; (2010); p. 878 - 882;",water,Solubility: 0.0009 g/kg solvent,JKHYOWBRQRJSTQ-OAQYLSRUSA-N
O-methyl-N-(toluene-4-sulfonyl)-DL-threonine; O-Methyl-N-(toluol-4-sulfonyl)-DL-threonin,[H][C@](C)(OC)[C@]([H])(NS(=O)(=O)C1=CC=C(C)C=C1)C(O)=O,287.337,,970,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,785; Chem.Abstr.; (1953); p. 1599;",H2O,100 g solvent dissolves. 0.097 g Substance.,JRVSYDMPTHOEJV-KOLCDFICSA-N
O-methyl-N-(toluene-4-sulfonyl)-allothreonine; O-Methyl-N-(toluol-4-sulfonyl)-allothreonin,[H][C@@](C)(OC)[C@]([H])(NS(=O)(=O)C1=CC=C(C)C=C1)C(O)=O,287.337,,420,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,785; Chem.Abstr.; (1953); p. 1599;",H2O,100 g solvent dissolves. 0.042 g Substance.,JRVSYDMPTHOEJV-ONGXEEELSA-N
"2,5,6,8-tetrahydroxy-3,7-dinitro-anthracene-1,4,9,10-tetraone; 2,5,6,8-Tetrahydroxy-3,7-dinitro-anthracen-1,4,9,10-tetraon; 3.7-Dinitro-2.5.6.8-tetraoxy-anthradichinon-(1.4;9.10)",OC1=C(O)C(=C(O)C2=C1C(=O)C1=C(C(=O)C(O)=C(C1=O)N(=O)=O)C2=O)N(=O)=O,392.192,860587-04-8,8333.33,25,Article; Heller; Mertz; Siller; Chemische Berichte; vol. 62; (1929); p. 936;,H2O,1 part(s) of substance.dissolves in:120 parts of solvent.,KIGWDNCXYGCZFT-UHFFFAOYSA-N
L-dilactylic acid diamide; L-Dilactylsaeure-diamid,[H][C@@](C)(O[C@@]([H])(C)C(N)=O)C(N)=O,160.173,5460-66-2; 20753-84-8; 20753-85-9; 28619-39-8,80000,17,"Article; Vieles; Annales de Chimie (Cachan, France); vol. <11>3; (1935); p. 156,170,173; Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences; vol. 198; (1934); p. 2103;",H2O,Solubility :8.0 percent.,KJEBMDAJDLDHPX-IMJSIDKUSA-N
"2-amino-3,5-dibromo-toluene-4-sulfonic acid; 2-Amino-3,5-dibrom-toluol-4-sulfonsaeure",CC1=C(N)C(Br)=C(C(Br)=C1)S(O)(=O)=O,345.011,,6390,13.5,Article; Kornatzki; Justus Liebigs Annalen der Chemie; vol. 221; (1883); p. 198;,H2O,100 g solvent dissolves. 0.6390 g Substance.,KNBORAZUKIMDFI-UHFFFAOYSA-N
"(9S)-9-Sulfooxy-10,11-dihydro-cinchonan",[H][C@@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](OS(O)(=O)=O)C1=CC=NC2=C1C=CC=C2,376.477,91021-95-3,1400.56,15,Article; Hesse; Justus Liebigs Annalen der Chemie; vol. 300; (1898); p. 50;,H2O,1 part(s) of substance.dissolves in:714 parts of solvent.,KOWIORSWCWUWRF-YXUGBTPSSA-N
"di-fructofuranose-1,2';2,3'-dianhydride; Di-fructofuranose-1,2';2,3'-dianhydrid",[H][C@@]12OC3(COC1(CO)O[C@H](CO)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]3O,324.285,138921-76-3,380000,20,"Article; Jackson; McDonald; Journal of Research of the National Bureau of Standards (United States); vol. 6; (1931); p. 709,713, 714;",H2O,100 g solvent dissolves. 38 g Substance.; di-D-fructose anhydride-III,KSRQDWNGXKYIDO-NCEFIRPQSA-N
3-methyl-dodecanedioic acid; 3-Methyl-dodecandisaeure,CC(CCCCCCCCC(O)=O)CC(O)=O,244.331,77633-51-3,103.52,15,Article; Komppa; Chemische Berichte; vol. 34; (1901); p. 897; Chemisches Zentralblatt; vol. 70; II; (1899); p. 1016;,H2O,1 part(s) of substance.dissolves in:9660 parts of solvent.,LFRDJQLRELTNCX-UHFFFAOYSA-N
"dihydrocodeine-6-O-acetate; acetyldihydrocodeine; 6alpha-acetoxy-4,5alpha-epoxy-3-methoxy-17-methyl-morphinane; 6alpha-Acetoxy-4,5alpha-epoxy-3-methoxy-17-methyl-morphinan",[H][C@@]12OC3=C4C(C[C@H]5N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2OC(C)=O)=CC=C3OC,343.423,3861-72-1,1666.67,20,Article; Lavoye; (1948); p. 450;,H2O,600 g solvent dissolves. 1 g Substance.,LGGDXXJAGWBUSL-BKRJIHRRSA-N
"(2S)-2-amino-3-(2,4-dinitrophenyl)propanoic acid; 2,4-dinitro-L-phenylalanine; N-(2,4-Dinitro-phenyl)-phenylalanin",[H][C@](N)(CC1=CC=C(C=C1N(=O)=O)N(=O)=O)C(O)=O,255.187,49607-21-8,2.36,19.99,"Article; Liu, Jin-Qiang; Qian, Chao; Chen, Xin-Zhi; Journal of Chemical and Engineering Data; vol. 55; 11; (2010); p. 5302 - 5304;",water,Solubility: 0.0009262 molpercent,LLVUHQYJZJUDAM-ZETCQYMHSA-N
3-methyl-N-phenyl-succinamic acid; 3-Methyl-N-phenyl-succinamidsaeure; Brenzweinsaeure-monoanilid vom Schmelzpunkt 123grad; Methyl-bernsteinsaeure-monoanilid,CC(CC(O)=O)C(=O)NC1=CC=CC=C1,207.229,3641-21-2; 91133-69-6,12000,15,Article; Morrell; Journal of the Chemical Society; vol. 105; (1914); p. 2704;,H2O,Solubility :1.2 percent.,LLXGJRJADKGRLQ-UHFFFAOYSA-N
"2,4,5-trichloro-benzyl alcohol; 2,4,5-Trichlor-benzylalkohol",OCC1=CC(Cl)=C(Cl)C=C1Cl,211.475,19010-52-7,166.67,20,Article; CARTER; CHARLTON; FENTON; HOUSLEY; LESSEL; The Journal of pharmacy and pharmacology; vol. 10; Supp; (1958); p. 149-157T; discussion 157-159T;,H2O,6 kg solvent dissolves. 1 g Substance.,LSQAZVNEESSDTQ-UHFFFAOYSA-N
DL-erythro-N-benzoyl-3-hydroxy-norvaline; DL-erythro-N-Benzoyl-3-hydroxy-norvalin; (+/-)-erythro-2-Benzamino-3-hydroxy-valeriansaeure,[H][C@](O)(CC)[C@]([H])(NC(=O)C1=CC=CC=C1)C(O)=O,237.255,,1300,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,785; Chem.Abstr.; (1953); p. 1599;",H2O,100 g solvent dissolves. 0.13 g Substance.,MFJLEJIOYKZORA-UWVGGRQHSA-N
DL-threo-N-benzoyl-3-hydroxy-norvaline; DL-threo-N-Benzoyl-3-hydroxy-norvalin; (+/-)-threo-2-Benzamino-3-hydroxy-valeriansaeure,[H][C@@](O)(CC)[C@]([H])(NC(=O)C1=CC=CC=C1)C(O)=O,237.255,,3280,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,785; Chem.Abstr.; (1953); p. 1599;",H2O,100 g solvent dissolves. 0.328 g Substance.,MFJLEJIOYKZORA-ZJUUUORDSA-N
"5,7-dimethyl-1H-indazol-3-ylamine; 5,7-Dimethyl-1H-indazol-3-ylamin",CC1=CC(C)=C2NN=C(N)C2=C1,161.206,830321-62-5,9090.91,20,Article; Bamberger; Justus Liebigs Annalen der Chemie; vol. 305; (1899); p. 324;,H2O,1 part(s) of substance.dissolves in:110 parts of solvent.,MPUSJQXTCCRRIY-UHFFFAOYSA-N
"2,3,4,6-tetrachloro-benzyl alcohol; 2,3,4,6-Tetrachlor-benzylalkohol; 2,3,4,6-Tetrachlorbenzylalkohol",OCC1=C(Cl)C=C(Cl)C(Cl)=C1Cl,245.92,,66.67,20,Article; CARTER; CHARLTON; FENTON; HOUSLEY; LESSEL; The Journal of pharmacy and pharmacology; vol. 10; Supp; (1958); p. 149-157T; discussion 157-159T;,H2O,15 kg solvent dissolves. 1 g Substance.,MSKZBDVUBJILCF-UHFFFAOYSA-N
"2,3,5,6-tetranitro-anisole; 2,3,5,6-Tetranitro-anisol; Methyl-(2.3.5.6-tetranitro-phenyl)-aether",COC1=C(C(=CC(=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,288.13,859945-37-2,80,27,Article; Desvergnes; vol. 38; p. 69; Chemisches Zentralblatt; vol. 100; II; (1929); p. 1790;,H2O,100 g solvent dissolves. 0.008 g Substance.,NHRIWEKOARVHSN-UHFFFAOYSA-N
"2,4-diaminoisoindoline-1,3-dione; 2,4-diamino-isoindoline-1,3-dione; 2,4-Diamino-isoindolin-1,3-dion; Luminol",NN1C(=O)C2=CC=CC(N)=C2C1=O,177.162,121433-36-1,2,25,"Article; Skripnikova, Tatiana A.; Lysova, Svetlana S.; Zevatskii, Yuriy E.; Myznikov, Leonid V.; Vorona, Svetlana V.; Artamonova, Tatiana V.; Journal of Molecular Structure; vol. 1154; (2018); p. 59 - 63;",water,Solubility: 0.0002 g/100g solvent,OFWOUIMOCCPPGO-UHFFFAOYSA-N
2-nonylmercapto-ethanol; (2-Hydroxy-aethyl)-nonyl-sulfid; 2-Nonylmercapto-aethanol; <2-Hydroxy-aethyl>-nonyl-sulfid,CCCCCCCCCSCCO,204.377,20323-24-4,20.44,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.000100 mol/kg,OIVAPOURDGJBCX-UHFFFAOYSA-N
"(+)-(1R)-3,3-dimethyl-2-oxo-1-norbornanecarboxylic acid; (1R)-3,3-dimethyl-2-oxo-norbornane-1-carboxylic acid; (1R)-3,3-Dimethyl-2-oxo-norbornan-1-carbonsaeure; (+)-Camphenonsaeure",CC1(C)[C@@H]2CC[C@](C2)(C(O)=O)C1=O,182.219,159249-35-1,11170,19,Article; Aschan; Justus Liebigs Annalen der Chemie; vol. 410; (1915); p. 228; Justus Liebigs Annalen der Chemie; vol. 383; (1911); p. 7;,H2O,100 g solvent dissolves. 1.117 g Substance.,ORQVWMMEHAPYJK-LHLIQPBNSA-N
"(-)-camphenonoic acid; (-)-Camphenonsaeure; 3,3-Dimethylnorbornan-2-on-1-carbonsaeure",CC1(C)[C@H]2CC[C@@](C2)(C(O)=O)C1=O,182.219,124578-23-0,11120,19,Article; Aschan; Justus Liebigs Annalen der Chemie; vol. 410; (1915); p. 228; Justus Liebigs Annalen der Chemie; vol. 383; (1911); p. 7;,H2O,100 g solvent dissolves. 1.112 g Substance.,ORQVWMMEHAPYJK-WKEGUHRASA-N
N-(toluene-2-sulfonyl)-glycine; N-(Toluol-2-sulfonyl)-glycin,CC1=C(C=CC=C1)S(=O)(=O)NCC(O)=O,229.257,,19200,18,"Article; Wallin; vol. 28; (1892); p. 2.Abt.,Abhandl.III,S.22;",H2O,1.92 part(s) of substance.dissolves in:100 parts of solvent.,OUGCEIBTCNBDEO-UHFFFAOYSA-N
"2-carboxy-3,4,5-tribromofuran; tribromo-furan-2-carboxylic acid; Tribrom-furan-2-carbonsaeure",OC(=O)C1=C(Br)C(Br)=C(Br)O1,348.773,200807-26-7,700,19,"Article; Hill; Sanger; Chemische Berichte; vol. 17; (1884); p. 1759; Justus Liebigs Annalen der Chemie; vol. 232; (1886); p. 67,82;",H2O,0.07 part(s) of substance.dissolves in:100 parts of solvent.,PBDHRIGQLQZEDH-UHFFFAOYSA-N
3-(2-acetylamino-acetylamino)propionic acid; 3-(2-acetylaminoacetylamino)propionic acid; 3(2-acetylaminoacetylamino)propionic acid; 3-(2-acetamidoacetamido)propionic acid; acetylglycine-beta-alanine; acetyl-glycine-beta-alanine; Ac-Gly-beta-Ala,CC(=O)NCC(=O)NCCC(O)=O,188.183,1016788-34-3,177000,20,"Patent; CORUM INC.; Hsu, Nai-Hsuan; US2014/336413; (2014); A1;",water,Solubility: 177 g/kg solvent,PEEDOBFPBBICBX-UHFFFAOYSA-N
"3,5-dimethylphenylphosphonic acid; 3,5-dimethylphosphonic acid; (3,5-dimethyl-phenyl)-phosphonic acid; 1.3-Dimethyl-benzol-phosphinsaeure-(5); (3,5-Dimethyl-phenyl)-phosphonsaeure; 3.5-Dimethyl-phenylphosphinsaeure; m-Xylol-phosphinsaeure-(5)",CC1=CC(=CC(C)=C1)P(O)(O)=O,186.147,111192-80-4,18000,15,"Article; Weller; Chemische Berichte; vol. 20; (1887); p. 1720,1721;",H2O,1.8 part(s) of substance.dissolves in:100 parts of solvent.,PXVDXSZVEZXVMG-UHFFFAOYSA-N
N-hydroxytridecanamide; laurylhydroxamic acid; Tridecanehydroxamic acid,CCCCCCCCCCCCC(=O)NO,229.363,51537-70-3,36700,22,"Patent; KIMBERLY-CLARK WORLDWIDE, INC.; WENZEL, Scott W.; KISCHNICK, Andrew R.; CUNNINGHAM, Corey T.; CHAUDHARY, Vinod; (43 pag.)WO2019/5064; (2019); A1;",water,Solubility: 3.67 weight percent,PYHXOAIZNLYQHA-UHFFFAOYSA-N
(E)-3-bromo-2-iodoprop-2-enoic acid; 3-bromo-2-iodo-acrylic acid; 3-Brom-2-jod-acrylsaeure; trans-3-Brom-2-Jodpropensaeure,OC(=O)C(\I)=C/Br,276.856,39121-35-2,17000,20,Article; Hill; Chemische Berichte; vol. 12; (1879); p. 659 Anm.; American Chemical Journal; vol. 4; (1882); p. 171;,H2O,1.7 part(s) of substance.dissolves in:100 parts of solvent.,QCXZPFMTVRXKMN-OWOJBTEDSA-N
"3,5-dibromo-benzenesulfonic acid amide; 3,5-Dibrom-benzolsulfonsaeure-amid; 3,5-dibromobenzenesulfonamide",NS(=O)(=O)C1=CC(Br)=CC(Br)=C1,314.985,39235-31-9,60,18,Article; Jackson; Earle; American Chemical Journal; vol. 29; (1903); p. 213;,H2O,0.0060 part(s) of substance.dissolves in:100 parts of solvent.,QHDSJIAGHURUSW-UHFFFAOYSA-N
